Split,Image,ClassGT,Class,CenterX,CenterY,RadiusX,RadiusY,Angle,WorkTime
test,1377.png,1,1,51.92640687,46.66666667,31.92640687,24.66666667,0.0,8
test,1377.png,1,1,52.17640687,51.66666667,33.84307354,17.0,0.0,11
test,1380.png,1,1,8.5,46.5,9.833333333,8.5,0.0,132
test,1380.png,1,1,22.0,44.66666667,21.66666667,13.66666667,0.0,21
test,1380.png,1,1,11.66666667,47.5,10.0,10.16666667,0.0,299
test,1386.png,1,1,64.83333333,47.0,25.5,14.0,0.0,394
test,1386.png,1,1,53.30140687,45.83333333,34.30140687,9.166666667,0.0,345
test,1386.png,1,1,54.05389608,47.16666667,34.72056275,31.83333333,0.0,257
test,1389.png,1,1,25.97056275,55.33333333,17.30389608,13.0,0.0,31
test,1389.png,1,1,27.83333333,55.33333333,15.16666667,10.0,0.0,95
test,1389.png,1,1,41.0,50.0,27.33333333,24.66666667,0.0,222
test,1420.png,1,1,73.66666667,60.0,24.33333333,14.33333333,0.0,29
test,1420.png,1,1,74.66666667,61.0,26.33333333,10.66666667,0.0,143
test,1420.png,1,1,24.80389608,47.22056275,23.80389608,29.22056275,0.0,350
test,1424.png,1,1,35.5097402,51.33333333,33.5097402,20.66666667,0.0,24
test,1424.png,1,1,28.83333333,51.83333333,20.83333333,20.83333333,0.0,236
test,1424.png,1,1,36.7597402,48.47056275,32.42640687,28.47056275,0.0,61
test,1441.png,1,1,47.81488089,50.16666667,33.45459952,32.83333333,0.0,107
test,1441.png,1,1,46.66666667,44.33333333,19.66666667,19.66666667,0.0,13
test,1441.png,1,1,40.5,39.0,24.16666667,14.0,0.0,31
test,1442.png,1,1,36.17640687,50.66666667,33.84307354,30.0,0.0,230
test,1442.png,1,1,33.0,49.5,33.0,32.83333333,0.0,263
test,1442.png,1,1,31.16666667,41.5,28.5,16.16666667,0.0,26
test,1446.png,1,1,48.97056275,46.66666667,32.63722942,11.33333333,0.0,586
test,1446.png,1,1,52.42640687,48.83333333,34.7597402,26.83333333,0.0,260
test,1446.png,1,1,48.16666667,51.0,10.16666667,9.333333333,0.0,323
test,1449.png,1,1,36.5,63.16666667,28.83333333,25.5,0.0,10
test,1449.png,1,1,53.92759732,53.44361471,34.04772721,33.66417746,0.0,168
test,1449.png,1,1,45.38100639,50.40129866,34.04767306,34.32770553,0.0,49
test,1463.png,1,1,63.16666667,58.66666667,28.16666667,20.0,0.0,23
test,1463.png,1,1,61.47056275,53.08933972,33.80389608,33.75600639,0.0,248
test,1463.png,1,10,60.36277058,55.83333333,31.63722942,20.16666667,0.0,42
test,1471.png,1,1,36.052489,52.16666667,34.052489,12.5,0.0,23
test,1471.png,1,1,23.66666667,51.0,17.66666667,6.666666667,0.0,290
test,1471.png,1,1,30.92267306,51.16666667,33.25600639,20.83333333,0.0,408
test,1483.png,1,1,66.66666667,52.33333333,28.66666667,21.66666667,0.0,14
test,1483.png,1,1,66.5,54.0,23.5,22.66666667,0.0,9
test,1483.png,1,1,66.5,50.83333333,26.5,18.5,0.0,320
test,1490.png,1,1,66.43149361,36.0097402,32.90183972,30.0097402,0.0,43
test,1490.png,1,1,78.33333333,38.41666667,18.0,17.08333333,0.0,28
test,1490.png,1,1,68.5,41.16666667,28.16666667,24.16666667,0.0,363
test,1497.png,1,1,65.33333333,50.33333333,29.0,18.66666667,0.0,18
test,1497.png,1,1,64.80389608,51.0,33.80389608,14.0,0.0,12
test,1497.png,1,1,34.47056275,46.5,33.80389608,20.83333333,0.0,203
test,1518.png,1,1,18.5,43.5,9.166666667,9.166666667,0.0,9
test,1518.png,1,1,17.66666667,40.83333333,10.66666667,12.16666667,0.0,21
test,1518.png,1,1,60.96807354,55.83333333,34.6347402,13.83333333,0.0,6
test,1537.png,1,1,62.21807354,51.88722942,33.55140687,33.88722942,0.0,261
test,1537.png,1,1,57.67267306,51.83333333,33.67267306,32.83333333,0.0,31
test,1537.png,1,1,47.72056275,47.08333333,34.05389608,27.75,0.0,23
test,154.png,1,1,68.47056275,46.16666667,31.80389608,28.83333333,0.0,19
test,154.png,1,1,58.29767306,46.33333333,33.29767306,27.66666667,0.0,22
test,154.png,1,1,49.0,48.66666667,32.0,25.33333333,0.0,238
test,1548.png,1,1,28.55140687,47.67640687,34.21807354,34.67640687,0.0,23
test,1548.png,1,1,35.0,56.22056275,31.33333333,29.88722942,0.0,18
test,1548.png,1,1,46.21433972,39.47056275,33.88100639,32.47056275,0.0,12
test,1553.png,1,1,61.13722942,52.66666667,33.13722942,27.0,0.0,16
test,1553.png,1,1,33.22056275,51.83333333,31.88722942,16.83333333,0.0,20
test,1553.png,1,1,80.0,51.0,16.0,13.0,0.0,20
test,1567.png,1,1,70.16666667,28.16666667,24.83333333,16.83333333,0.0,6
test,1567.png,1,1,45.33333333,50.0,28.33333333,15.66666667,0.0,9
test,1567.png,1,1,50.3847402,51.66666667,29.3847402,13.66666667,0.0,496
test,1575.png,1,1,53.49761911,52.69859313,34.35043285,33.30140687,0.0,120
test,1575.png,1,1,58.30140687,51.09334434,34.6347402,34.57332233,0.0,92
test,1575.png,1,1,39.16666667,41.33333333,12.83333333,11.0,0.0,256
test,1576.png,1,1,65.38722942,51.80389608,33.72056275,30.80389608,0.0,57
test,1576.png,1,1,51.53192646,52.66666667,34.1347402,11.33333333,0.0,72
test,1576.png,1,1,67.15692646,53.5,30.17640687,14.16666667,0.0,23
test,1584.png,1,1,46.83333333,47.5,11.16666667,8.166666667,0.0,30
test,1584.png,1,1,35.96807354,47.08333333,33.6347402,28.41666667,0.0,144
test,1584.png,1,1,26.16666667,45.33333333,26.5,24.66666667,0.0,264
test,1596.png,1,1,39.92889608,44.5,20.59556275,12.83333333,0.0,37
test,1596.png,1,1,43.33333333,48.83333333,15.33333333,14.83333333,0.0,279
test,1596.png,1,1,36.0,48.66666667,22.66666667,16.0,0.0,18
test,1643.png,1,1,39.92640687,51.16666667,33.2597402,17.16666667,0.0,123
test,1643.png,1,1,12.83333333,54.0,9.833333333,15.66666667,0.0,300
test,1643.png,1,1,18.80389608,50.0,20.80389608,19.0,0.0,27
test,1648.png,1,1,53.30140687,51.33333333,33.6347402,30.66666667,0.0,15
test,1648.png,1,1,55.72056275,40.72056275,33.72056275,33.38722942,0.0,219
test,1648.png,1,1,46.33333333,71.8847402,17.33333333,31.8847402,0.0,88
test,1672.png,1,1,45.83333333,49.5,23.16666667,9.5,0.0,16
test,1672.png,1,1,28.84307354,53.08333333,28.17640687,18.08333333,0.0,32
test,1672.png,1,1,50.63966447,43.5,33.9778679,15.5,0.0,98
test,168.png,1,1,15.16666667,57.0,10.5,10.0,0.0,153
test,168.png,1,1,25.33333333,60.16666667,22.33333333,13.16666667,0.0,16
test,168.png,1,1,43.5,55.33333333,9.166666667,7.0,0.0,19
test,1693.png,1,1,27.33333333,49.5,16.33333333,12.16666667,0.0,26
test,1693.png,1,1,32.63919084,48.16666667,33.78948861,17.5,0.0,18
test,1693.png,1,1,36.30389608,53.0,34.30389608,15.66666667,0.0,157
test,1705.png,1,1,51.0,53.83333333,14.66666667,18.5,0.0,406
test,1705.png,1,1,54.55638529,52.5,32.99751079,22.83333333,0.0,35
test,1705.png,1,1,49.5,56.33333333,24.5,21.0,0.0,185
test,1742.png,1,1,60.42640687,32.83333333,33.7597402,21.16666667,0.0,16
test,1742.png,1,1,35.34415566,42.71807354,34.34415566,34.05140687,0.0,193
test,1742.png,1,1,13.66666667,27.16666667,17.0,12.5,0.0,32
test,1748.png,1,1,37.16428578,41.15183972,34.01709952,33.48517306,0.0,27
test,1748.png,1,1,34.59307354,42.16666667,32.92640687,19.5,0.0,11
test,1748.png,1,1,65.34307354,47.0,33.67640687,21.0,0.0,279
test,1751.png,1,1,48.41725515,46.28147413,33.48289607,18.35580705,0.557825926,36
test,1751.png,1,1,51.87675859,48.19610392,34.39272182,32.80389608,0.0,36
test,1751.png,1,1,53.16666667,56.83333333,31.83333333,19.16666667,0.0,19
test,1760.png,1,1,37.0,53.5,16.66666667,17.16666667,0.0,581
test,1760.png,1,1,38.55414967,51.57867168,33.71425036,14.01258189,0.187072612,95
test,1760.png,1,1,34.0097402,48.33333333,34.0097402,31.0,0.0,275
test,1761.png,1,1,54.69859313,47.38722942,33.6347402,20.38722942,0.0,25
test,1761.png,1,1,55.83333333,48.16666667,18.16666667,16.16666667,0.0,19
test,1761.png,1,1,42.66666667,46.16666667,30.0,16.5,0.0,9
test,1782.png,1,1,69.66666667,48.0,23.33333333,5.666666667,0.0,10
test,1782.png,1,1,43.05140687,47.5,34.3847402,24.5,0.0,258
test,1782.png,1,1,42.16666667,46.16666667,20.5,13.5,0.0,10
test,1797.png,1,1,69.11028137,55.33333333,27.99751079,22.33333333,0.0,56
test,1797.png,1,1,69.5,48.16666667,25.83333333,10.83333333,0.0,31
test,1797.png,1,1,72.33333333,53.0,20.0,11.0,0.0,13
test,18.png,1,1,46.42640687,43.66666667,34.42640687,17.0,0.0,9
test,18.png,1,1,48.05140687,47.5,32.3847402,16.16666667,0.0,130
test,18.png,1,1,49.66666667,48.66666667,18.66666667,14.33333333,0.0,14
test,180.png,1,1,28.38722942,34.0,30.38722942,10.33333333,0.0,342
test,180.png,1,1,32.5097402,44.33333333,30.5097402,21.66666667,0.0,18
test,180.png,1,1,38.97056275,47.16666667,33.30389608,30.83333333,0.0,389
test,1802.png,1,1,64.84307354,16.83333333,34.17640687,17.5,0.0,22
test,1802.png,1,1,33.92640687,55.83333333,30.2597402,10.5,0.0,127
test,1802.png,1,1,36.47056275,62.33333333,30.47056275,29.0,0.0,77
test,1811.png,1,1,40.77835082,47.66666667,34.32944134,19.33333333,0.0,171
test,1811.png,1,1,32.97056275,47.0,31.30389608,21.0,0.0,129
test,1811.png,1,1,61.13722942,50.0,33.80389608,22.66666667,0.0,9
test,1828.png,1,1,43.36017306,48.91666667,34.36017306,18.25,0.0,9
test,1828.png,1,1,26.83333333,48.66666667,16.83333333,10.66666667,0.0,8
test,1828.png,1,1,47.46807354,48.5,34.1347402,25.16666667,0.0,11
test,1830.png,1,1,38.63722942,50.3847402,33.97056275,33.3847402,0.0,13
test,1830.png,1,1,18.5,42.17640687,22.83333333,29.5097402,0.0,14
test,1830.png,1,1,40.0,37.5,32.33333333,33.5,0.0,10
test,1843.png,1,1,38.36017306,40.05389608,33.69350639,34.38722942,0.0,20
test,1843.png,1,1,42.6347402,42.63722942,34.30140687,34.63722942,0.0,246
test,1843.png,1,1,37.6347402,39.5,32.30140687,30.83333333,0.0,14
test,1850.png,1,1,36.17640687,53.5,34.84307354,30.83333333,0.0,463
test,1850.png,1,1,33.8847402,53.66666667,34.21807354,20.66666667,0.0,40
test,1850.png,1,1,29.66666667,51.16666667,30.0,7.5,0.0,10
test,1857.png,1,1,72.16666667,28.83333333,25.16666667,9.5,0.0,12
test,1857.png,1,1,63.63722942,30.0,30.97056275,13.33333333,0.0,132
test,1857.png,1,1,38.0,68.5,12.0,6.833333333,0.0,9
test,1867.png,1,1,58.16666667,46.16666667,21.83333333,18.5,0.0,390
test,1867.png,1,1,59.27694804,50.83333333,33.83084412,25.5,0.0,52
test,1867.png,1,1,60.66666667,45.83333333,29.33333333,23.5,0.0,178
test,1886.png,1,1,51.5,52.16666667,16.16666667,15.16666667,0.0,23
test,1886.png,1,1,53.16666667,50.83333333,19.83333333,19.83333333,0.0,12
test,1886.png,1,1,49.71807354,55.7597402,33.05140687,32.7597402,0.0,64
test,1887.png,1,1,61.62738089,46.77683972,34.05876618,33.11017306,0.0,19
test,1887.png,1,1,56.19610392,47.16666667,33.80389608,19.16666667,0.0,266
test,1887.png,1,1,57.16666667,50.33333333,20.83333333,22.33333333,0.0,7
test,1898.png,1,1,60.5,49.0,25.5,15.33333333,0.0,109
test,1898.png,1,1,64.5,49.83333333,24.83333333,19.5,0.0,7
test,1898.png,1,1,59.46619963,50.24527785,23.94280235,30.96711343,0.905020636,19
test,1902.png,1,1,78.5,35.80389608,29.16666667,15.47056275,0.0,34
test,1902.png,1,1,65.75600639,45.5,34.42267306,22.16666667,0.0,30
test,1902.png,1,1,87.33333333,43.33333333,10.66666667,8.333333333,0.0,12
test,1909.png,1,1,47.38722942,49.16666667,34.05389608,20.83333333,0.0,9
test,1909.png,1,1,31.69350639,46.13722942,27.36017306,24.47056275,0.0,312
test,1909.png,1,1,22.47056275,43.33333333,12.13722942,16.33333333,-1.764855036,32
test,1917.png,1,1,21.16666667,69.33333333,21.83333333,27.33333333,0.0,59
test,1917.png,1,1,39.5,46.33333333,32.16666667,24.66666667,0.0,11
test,1917.png,1,1,53.05389608,51.72056275,33.05389608,34.38722942,0.0,37
test,1921.png,1,1,31.05638529,55.33333333,33.49751079,21.33333333,0.0,36
test,1921.png,1,1,31.16666667,58.16666667,25.16666667,14.83333333,0.0,11
test,1921.png,1,1,28.42640687,56.0,32.7597402,21.0,0.0,10
test,1926.png,1,1,74.33333333,44.83333333,15.33333333,16.83333333,0.0,323
test,1926.png,1,1,55.5097402,50.5,34.5097402,27.5,0.0,10
test,1926.png,1,1,14.66666667,39.33333333,12.66666667,16.33333333,0.0,20
test,1940.png,1,1,60.34307354,50.30389608,33.34307354,33.63722942,0.0,435
test,1940.png,1,1,64.0,59.16666667,23.33333333,14.5,0.0,16
test,1940.png,1,1,73.33333333,46.38722942,22.33333333,31.72056275,0.0,19
test,1947.png,1,1,36.17640687,53.16666667,31.5097402,14.16666667,0.0,116
test,1947.png,1,1,37.5,51.83333333,32.16666667,11.83333333,0.0,11
test,1947.png,1,1,30.0,52.66666667,23.33333333,16.0,0.0,9
test,1958.png,1,1,67.36277058,53.66666667,30.30389608,23.33333333,0.0,79
test,1958.png,1,1,24.11017306,45.33333333,34.11017306,17.33333333,0.0,13
test,1958.png,1,1,16.66666667,48.66666667,15.0,21.0,0.0,14
test,1969.png,1,1,48.69610392,58.19610392,12.97056275,12.13722942,0.0,15
test,1969.png,1,1,42.83333333,67.33333333,14.16666667,13.0,0.0,18
test,1969.png,1,1,64.5,60.16666667,14.16666667,15.5,0.0,8
test,1973.png,1,1,57.3847402,53.83333333,32.05140687,17.83333333,0.0,11
test,1973.png,1,1,65.66666667,51.5,21.66666667,25.83333333,0.0,26
test,1973.png,1,1,57.5,37.16666667,18.83333333,19.5,0.0,47
test,1977.png,1,1,68.83333333,49.83333333,24.5,15.16666667,0.0,12
test,1977.png,1,1,38.05389608,47.16666667,34.38722942,12.83333333,0.0,23
test,1977.png,1,1,36.67640687,49.33333333,34.34307354,18.66666667,0.0,29
test,1981.png,1,1,53.16666667,44.83333333,22.83333333,14.5,0.0,167
test,1981.png,1,1,48.80389608,39.33333333,34.13722942,17.66666667,0.0,27
test,1981.png,1,1,34.16666667,40.33333333,18.5,14.66666667,0.0,45
test,1987.png,1,1,62.33333333,51.0,5.333333333,5.666666667,0.0,15
test,1987.png,1,1,56.25503258,49.5,34.17635271,17.83333333,0.0,32
test,1987.png,1,1,65.33333333,48.83333333,25.66666667,12.83333333,0.0,16
test,1988.png,1,1,32.0,44.33333333,34.66666667,25.66666667,0.0,12
test,1988.png,1,1,35.34307354,50.33333333,32.0097402,18.0,0.0,13
test,1988.png,1,1,42.03165566,45.66666667,34.03165566,22.66666667,0.0,39
test,2004.png,1,1,50.83333333,48.0,24.16666667,21.0,0.0,12
test,2004.png,1,1,58.05389608,51.16666667,33.72056275,33.5,0.0,73
test,2004.png,1,1,44.16666667,51.16666667,13.83333333,14.5,0.0,9
test,2009.png,1,1,51.84805196,53.66666667,34.78917746,23.66666667,0.0,27
test,2009.png,1,1,62.33333333,55.83333333,17.33333333,16.5,0.0,26
test,2009.png,1,1,70.83333333,57.33333333,9.5,10.0,0.0,20
test,2024.png,1,1,55.33333333,49.83333333,22.66666667,17.5,0.0,11
test,2024.png,1,1,49.62540566,44.66666667,33.958739,11.33333333,0.0,17
test,2024.png,1,1,41.21807354,48.5,33.8847402,31.5,0.0,7
test,2025.png,1,1,73.5,53.0,20.16666667,13.66666667,0.0,12
test,2025.png,1,1,61.0,55.0,30.0,11.66666667,0.0,19
test,2025.png,1,1,15.83333333,47.66666667,19.83333333,19.33333333,0.0,11
test,2027.png,1,1,25.34989247,47.71102722,12.43350228,11.50260633,-3.044673321,81
test,2027.png,1,1,24.33333333,40.5,21.33333333,24.16666667,0.0,14
test,2027.png,1,1,46.80389608,59.0,33.47056275,22.33333333,0.0,17
test,2043.png,1,1,16.80389608,51.33333333,28.80389608,17.33333333,0.0,44
test,2043.png,1,3,13.97056275,81.5,25.63722942,14.83333333,0.0,52
test,2043.png,1,1,9.666666667,43.33333333,17.33333333,16.33333333,0.0,194
test,2048.png,1,1,43.38722942,47.33333333,12.05389608,9.333333333,0.0,10
test,2048.png,1,9,62.0,49.0,31.0,16.33333333,0.0,31
test,2048.png,1,1,42.56850639,48.83333333,34.23517306,21.16666667,0.0,37
test,2085.png,1,1,47.16666667,50.0,12.5,12.0,0.0,9
test,2085.png,1,1,48.5,47.83333333,13.16666667,8.166666667,0.0,325
test,2085.png,1,1,44.97056275,47.5,30.30389608,22.16666667,0.0,23
test,2092.png,1,1,39.1347402,52.5,33.1347402,15.83333333,0.0,7
test,2092.png,1,1,81.0,41.83333333,11.33333333,11.16666667,0.0,22
test,2092.png,1,1,82.0,45.66666667,18.33333333,17.0,0.0,9
test,2102.png,1,1,43.19350639,46.38722942,33.86017306,34.38722942,0.0,49
test,2102.png,1,1,34.05389608,45.66666667,34.38722942,27.33333333,0.0,15
test,2102.png,1,1,36.56850639,35.15183972,32.56850639,32.15183972,0.0,34
test,2123.png,1,1,47.80389608,47.5,12.13722942,14.16666667,0.0,10
test,2123.png,1,1,46.48517306,43.33333333,33.81850639,12.33333333,0.0,187
test,2123.png,1,1,47.40218931,48.02585571,33.84373812,12.0,0.032741148,19
test,2140.png,1,1,15.0,43.15692646,23.66666667,26.84307354,0.0,395
test,2140.png,1,1,36.33333333,55.16666667,23.0,34.5,0.0,8
test,2140.png,1,1,28.66666667,50.5,21.33333333,18.5,0.519146114,62
test,2158.png,1,1,51.83333333,42.16666667,29.83333333,14.16666667,0.0,12
test,2158.png,1,1,34.5,51.83333333,33.83333333,14.83333333,0.0,11
test,2158.png,1,1,56.0,44.66666667,13.66666667,17.66666667,0.0,13
test,2172.png,1,1,27.16666667,53.92640687,16.5,28.92640687,1.480099321,30
test,2172.png,1,1,33.364989,52.66666667,33.69832233,20.66666667,0.0,88
test,2172.png,1,1,33.66666667,57.66666667,31.0,26.66666667,0.0,8
test,2181.png,1,1,55.0,46.09307354,21.33333333,32.09307354,0.0,132
test,2181.png,1,1,50.83333333,43.09307354,27.16666667,34.42640687,0.0,266
test,2181.png,1,1,51.5,33.7597402,23.83333333,32.09307354,0.0,13
test,2190.png,1,1,33.55389608,54.0,29.22056275,24.33333333,0.0,12
test,2190.png,1,1,52.84307354,50.41666667,33.84307354,18.08333333,0.0,20
test,2190.png,1,1,59.51828944,52.16034881,33.63468082,21.0,-0.405431498,299
test,220.png,1,1,71.44361471,44.33333333,33.33084412,16.66666667,0.0,350
test,220.png,1,1,55.44350639,51.33333333,30.11017306,14.0,0.0,18
